INFY	INFOSYS LIMITED
VISASTEEL	VISA STEEL LIMITED
ASHIMASYN	ASHIMA LTD
MANGTIMBER	MANGALAM TIMBER PRODUCTS
ONELIFECAP	ONELIFE CAP ADVISORS LTD
SGJHL	SH GANESH JEWEL HOUS(I)LT
BSL	BSL LTD
CCHHL	COUNTRY CLUB HOSP HOL LTD
ADORWELD	ADOR WELDING LTD
GULPOLY	GULSHAN POLYOLS LIMITED
JINDALPHOT	JINDAL PHOTO LIMITED
TCIFINANCE	TCI FINANCE LTD
BANKBEES	GOLDMAN SACHS BANKING ETF
DPSCLTD	DPSC LIMITED
GINNIFILA	GINNI FILAMENTS LTD
GANESHHOUC	GANESH HOUSING CORP LTD
MOLDTECH	MOLD-TEK TECHNOLOGIES LTD
VSTIND	VST INDUSTRIES LTD
GSS	GSS INFOTECH LIMITED
CANDC	C&C CONST. LTD.
HARITASEAT	HARITA SEATING SYS. LTD
ALKYLAMINE	ALKYL AMINES CHEM. LTD
ROSSELLIND	ROSSELL INDIA LIMITED
AURIONPRO	AURIONPRO SOLN LTD
BANARISUG	BANNARI AMMAN SUGARS LTD
DQE	DQ ENTERTAINMENT INT LTD
GOCLCORP	GOCL CORPORATION LIMITED
SHREERAMA	SHREE RAMA MULTI TECH LTD
SMPL	SUJANA METAL PRODUCTS LTD
EON	EON ELECTRIC LIMITED
KSBPUMPS	KSB PUMPS LTD
PARABDRUGS	PARABOLIC DRUGS LTD
JUNIORBEES	NIFTY JR GOLDMAN SACH ETF
SUPERHOUSE	SUPERHOUSE LIMITED
JOCIL	JOCIL LIMITED
BEDMUTHA	BEDMUTHA INDUST LTD
KGL	KARUTURI GLOBAL LIMITED
MANGCHEFER	MANG.CHEM.FERT.LTD
PENPEBS	PENNAR ENG BLDG SYS LTD
SELMCL	SEL MANU. CO. LTD.
SPYL	SHEKHAWATI POLY-YARN LTD.
AHLUCONT	AHLUWALIA CONT IND LTD
FAGBEARING	FAG BEARINGS INDIA LTD
TPLPLASTEH	TPL PLASTECH LIMITED
GLOBALVECT	GLOBAL VEC HELICORP LTD
HATSUN	HATSUN AGRO PRODUCT LTD.
IVP	IVP LTD
NELCAST	NELCAST LIMITED
3MINDIA	3M INDIA LIMITED
KDDL	KDDL LIMITED
SADBHIN	SADBHAV INFRA PROJ LTD.
ARMANFIN	ARMAN FIN SERV LTD
BAGFILMS	B.A.G FILMS AND MEDIA LTD
PILANIINVS	PILANI INV & IND COR LTD
JETKNIT	JET KNITWEARS LTD.
RATNAMANI	RATNAMANI MET & TUB LTD.
VALUEIND	VALUE INDUSTRIES LIMITED
RELIGARE	RELIGARE ENTER. LTD.
VAIBHAVGBL	VAIBHAV GLOBAL LIMITED
CTE	CAMBRIDGE TECH ENTER LTD
GARDENSILK	GARDEN SILK MILLS LTD
RAIREKMOH	R R MOHOTA SPG & WVG MILL
RSYSTEMS	R SYS INTERNATIONAL LTD
DENORA	DE NORA INDIA LIMITED
SUNCLAYLTD	SUNDARAM CLAYTON LIMITED
PSL	PSL LIMITED
UNIVCABLES	UNIVERSAL CABLES LTD
POKARNA	POKARNA LIMITED
IFBAGRO	IFB AGRO INDUSTRIES LTD
OCCL	ORIENTAL CARBN & CHEM LTD
FOSECOIND	FOSECO INDIA LTD
SMARTLINK	SMARTLINK NETWORK SYS LTD
UVSL	UTTAM VALUE STEELS LTD
CCCL	CONS. CONST. CONSORT LTD
INDIANCARD	INDIAN CARD CLOTHING CO.
RTNINFRA	RATTANINDIA INFRA LIMITED
ANTGRAPHIC	ANTARCTICA LTD
QGOLDHALF	QUANTUM GOLD FUND
SGL	STL GLOBAL LIMITED
ONWARDTEC	ONWARD TECHNOLOGIES LTD
SIMPLEXINF	SIMPLEX INFRASTRUCTURES L
ADHUNIKIND	ADHUNIK INDUSTRIES LTD
ALBERTDAVD	ALBERT DAVID LIMITED
GREENLAM	GREENLAM INDUSTRIES LTD.
HANUNG	HANUNG TOYS & TEX LTD
BIRLACOT	BIRLA COTSYN LTD
VALECHAENG	VALECHA ENG. LIMITED
CANTABIL	CANTABIL RETAIL LTD
ALCHEM	ALCHEMIST LTD
HEXATRADEX	HEXA TRADEX LIMITED
THEMISMED	THEMIS MEDICARE LTD.
ORIENTALTL	ORIENTAL TRIMEX LTD
CELESTIAL	CELESTIAL BIOLABS LTD
DTIL	DHUNSERI TEA & IND. LTD.
TOKYOPLAST	TOKYO PLAST INTL LTD
GTNTEX	GTN TEXTILES LIMITED
BRFL	BOMBAY RAYON FASHIONS LTD
SANWARIA	SANWARIA AGRO OILS LTD
GOKULAGRO	GOKUL AGRO RESOURCES LTD
SPICEMOBI	SPICE MOBILITY LIMITED
AMDIND	AMD INDUSTRIES LIMITED
AYMSYNTEX	AYM SYNTEX LIMITED
IMPAL	IND MOTOR PART & ACC LTD
WINSOME	WINSOME YARNS LIMITED
GEMINI	GEMINI COMM. LTD
JAYNECOIND	JAYASWAL NECO INDUSTR LTD
TECHNOFAB	TECHNOFAB ENG LTD
XCHANGING	XCHANGING SOLUTIONS LTD
HMT	HMT LTD -
BSELINFRA	BSEL INFRASTRUCTURE REALT
PARACABLES	PARAMOUNT COMM LTD
PREMIER	PREMIER LIMITED
TEAMLEASE	TEAMLEASE SERVICES LTD.
FMNL	FUTURE MKT NETWORKS LTD
LPDC	LANDMARK PR.DEV.CO.LTD
AFL	ACCEL FRONTLINE LTD
ECEIND	ECE INDUSTRIES LTD.
MUTHOOTCAP	MUTHOOT CAP SERV LTD
OISL	OCL IRON AND STEEL LTD
PBAINFRA	PBA INFRASTRUCTURE LTD.
ESABINDIA	ESAB INDIA LTD
ORIENTHOT	ORIENT HOTELS LTD
PREMEXPLN	PREMIER EXPLOSIVES LTD
PROVOGE	PROVOGUE (INDIA) LIMITED
ZYLOG	ZYLOG SYSTEMS LTD.
BHARATWIRE	BHARAT WIRE ROPES LTD.
JPOLYINVST	JIND POL INV & FIN CO LTD
M50	MOST SHARES M50 ETF
SPMLINFRA	SPML INFRA LIMITED
ZODIACLOTH	ZODIAC CLOTHING CO. LTD.
GREENFIRE	GREEN FIRE AGRI COMM LTD
PALREDTEC	PALRED TECHNOLOGIES LTD
POLYMED	POLY MEDICURE LIMITED
SHARDAMOTR	SHARDA MOTOR INDS LTD
GPTINFRA	GPT INFRAPROJECTS LTD
TANTIACONS	TANTIA CONST LTD
PSUBNKBEES	GOLDMAN SACHS PSU BNK ETF
HINDUJAVEN	HINDUJA VENTURES LIMITED
BLS	BLS INTL SERVS LTD
NATNLSTEEL	NATIONAL STEEL & AGRO IND
DICIND	DIC INDIA LIMITED
EASTSILK	EASTERN SILK INDUSTRIES L
AXISGOLD	AXIS MF - AXIS GOLD ETF
CINEVISTA	CINEVISTA LIMITED
GANDHITUBE	GANDHI SPL. TUBES LTD
KSERASERA	KSS LIMITED
PVP	PVP VENTURES LIMITED
KOTAKNIFTY	KOTAK NIFTY ETF
LSIL	LLOYDS STEELS IND. LTD.
ADVANIHOTR	ADVANI HOT.& RES.(I) LTD
FELDVR	FUTURE ENTERPRISES LTD
MICROSEC	MICROSEC FIN SERV LTD
PKTEA	THE P K TEA PROD CO LTD
RUPA	RUPA & COMPANY LTD
THANGAMAYL	THANGAMAYIL JEWELLERY LTD
HIRECT	HIND RECTIFIER LIMITED
NEXTMEDIA	NEXT MEDIAWORKS LIMITED
VISESHINFO	VISESH INFOTECNICS LTD
AHLEAST	ASIAN HOTELS (EAST) LTD
MINDTECK	MINDTECK (INDIA) LIMITED
TTL	T T LIMITED
XPROINDIA	XPRO INDIA LIMITED
ALPA	ALPA LABORATORIES LTD
GOLDIWIN	ICICI PRU GOLD IWIN ETF
GRPLTD	GRP LIMITED
MAHASTEEL	MAHAMAYA STEEL INDS LTD
SICAGEN	SICAGEN INDIA LIMITED
HBSTOCK	HB STOCKHOLDINGS LIMITED
ORBTEXP	ORBIT EXPORTS LIMITED
NAGREEKEXP	NAGREEKA EXPORTS LTD.
STERLINBIO	STERLING BIOTECH LTD
UNITEDTEA	UNITED NILGIRI TEA LTD
BIRLACABLE	BIRLA CABLE LIMITED
SIL	STANDARD INDUSTRIES LTD.
LUMAXAUTO	LUMAX AUTOMOTIVE SYST LTD
VKSPL	VKS PROJECTS LIMITED
CREST	CREST VENTURES LIMITED
GOLDENTOBC	GOLDEN TOBACCO LIMITED
SAMBHAAV	SAMBHAAV MEDIA LTD
VSSL	VARDHMAN SPC STEEL LTD
KIRLOSIND	KIRLOSKAR INDUSTRIES LTD
MVL	MVL LIMITED
INVENTURE	INVENTURE GRO & SEC LTD
SITASHREE	SITA SHREE FOOD PROD LTD
M100	MOST SHARES M100 ETF
DHUNINV	DHUNSERI INVESTMENTS LTD
EMKAY	EMKAY GLOBAL FIN SERV LTD
EUROCERA	EURO CERAMICS LTD
HUBTOWN	HUBTOWN LIMITED
GOKUL	GOKUL REFOILS & SOLV LTD
JINDWORLD	JINDAL WORLDWIDE LTD
MANAKCOAT	MAN COAT METAL & IND LTD
REMSONSIND	REMSONS INDUSTRIES LTD
LCCINFOTEC	LCC INFOTECH LTD
BGLOBAL	BHARATIYA GLOBAL INFO LTD
KERNEX	KERNEX MICROSYS(I) LTD
JAIBALAJI	JAI BALAJI INDUSTRIES LTD
ORTEL	ORTEL COMMUNICATIONS LTD
KOTAKPSUBK	KOTAK PSU BANK
CORDSCABLE	CORDS CABLE INDUS LTD.
HONAUT	HONEYWELL AUTOMATION IND
NAKODA	NAKODA LIMITED
POCHIRAJU	POCHIRAJU IND LTD
SERVALL	SERVALAKSHMI PAPER LTD
GUJAPOLLO	GUJ. APOLLO IND. LTD.
WENDT	WENDT (INDIA) LIMITED
SETFNIF50	SBI-ETF NIFTY 50
BILENERGY	BIL ENERGY SYSTEMS LTD
DSKULKARNI	D S KULKARNI DEVELOPERS L
MSPL	MSP STEEL & POWER LTD.
VIJSHAN	VIJAY SHANTHI BUILD LTD
RASOYPR	RASOYA PROTEINS LTD
KOTAKBKETF	KOTAKMAMC-KOTAKBKETF
ANSALHSG	ANSAL HOU. & CON. LTD.
WINDMACHIN	WINDSOR MACHINES LIMITED
INDOWIND	INDOWIND ENERGY LTD
GOLDINFRA	GOLDSTONE INFRATECH LTD
GTNIND	GTN INDUSTRIES LIMITED
IMPEXFERRO	IMPEX FERRO TECH LIMITED
SALSTEEL	S.A.L. STEEL LTD.
TIPSINDLTD	TIPS INDUSTRIES LIMITED
KAUSHALYA	KAUSHALYA INFRA DEV LTD.
NIBL	NRB INDUS. BEARINGS LTD.
SHYAMCENT	SHYAM CENTURY FERROUS LTD
WILLAMAGOR	WILLIAMSON MAGOR
SVOGL	SVOGL OIL GAS & ENERGY LT
CNOVAPETRO	CIL NOVA PETROCHEM LTD
EIHAHOTELS	EIH ASSOCIATED HOTELS LTD
SILINV	SIL INVESTMENTS LIMITED
TFL	TRANSWARRANTY FIN. LTD.
VASWANI	VASWANI IND LTD
WEIZFOREX	WEIZMANN FOREX LIMITED
ICSA	ICSA (INDIA) LIMITED
NAHARCAP	NAHAR CAP & FIN.
BHAGYNAGAR	BHAGYANAGAR INDIA LIMITED
KHAITANELE	KHAITAN ELECTRICALS LTD
PNEUMATIC	PNEUMATIC HOLDINGS LTD
XLENERGY	XL ENERGY LIMITED
ALMONDZ	ALMONDZ GLOBAL SEC LTD
BASML	BANNARI AM SPIN MILL LTD.
AGRITECH	AGRI-TECH (INDIA) LIMITED
KAVVERITEL	KAVVERI TEL. LTD.
MANAKSTEEL	MANAKSIA STEELS LTD
TAINWALCHM	TAINWALA CHEMICAL AND PLA
BANG	BANG OVERSEAS LTD.
SURANAIND	SURANA INDUSTRIES LTD
TIJARIA	TIJARIA POLYPIPES LTD
JVLAGRO	JVL AGRO INDUSTRIES LTD
SUDAR	SUDAR INDUSTRIES LIMITED
IDBIGOLD	IDBI MF - IDBI GOLD ETF
MANAKSIA	MANAKSIA LTD.
SHAHALLOYS	SHAH ALLOYS LIMITED
SURANAT&P	SURANA TELECOM AND POW LT
ZUARIGLOB	ZUARI GLOBAL LIMITED
CUBEXTUB	CUBEXTUBINGS-ROLLSETT
DAMODARIND	DAMODAR INDUSTRIES LTD
MANAKALUCO	MANAK ALUMINIUM CO. LTD.
TARMAT	TARMAT LIMITED
NEPCMICON	NEPC INDIA LTD
AMTL	ADV METERING TECH LTD
DSSL	DYNACONS SYS & SOLN LTD
FARMAXIND	FARMAX INDIA LTD
KARMAENG	KARMA ENERGY LIMITED
MAGNUM	MAGNUM VENTURES LTD.
SPLIL	SPL INDUSTRIES LIMITED
HNGSNGBEES	HANGSENG GOLDMAN SACH ETF
KKCL	KEWAL KIRAN CLOTHING LTD
LICNFNHGP	LICNAMC - LICNFNHGP
NUTEK	NU TEK INDIA LTD
RESPONIND	RESPONSIVE INDUSTRIES LTD
REGENCERAM	REGENCYCERAMICS-LTD
SEPOWER	S.E. POWER LIMITED
SREEL	SREELEATHERS LIMITED
SHRIPISTON	SHRIRAM PIST. & RING LTD
PAEL	PAE LIMITED
PRADIP	PRADIP OVERSEAS LTD
MANAKINDST	MANAKSIA INDUSTRIES LTD
BLBLIMITED	BLB LIMITED
HINDNATGLS	HIND NATL GLASS & IND LTD
LAKPRE	LAKSHMI PRE SCRE LTD
MBAPL	MADHYA BHARAT AGRO PROD L
PATSPINLTD	PATSPIN INDIA LTD
SIMPLEX	SIMPLEX PROJECTS LTD.
BANARBEADS	BANARAS BEADS LTD
PANORAMUNI	PANORAMIC UNIVERSAL LTD
TULSI	TULSI EXTRUSION LTD.
AICHAMP	AI CHAMPDANY INDS LTD
BSLGOLDETF	BIRLA SL GOLD ETF - GO
ASAL	AUTOMOTIVE STAMPINGS & AS
SALORAINTL	SALORA INTERNATIONAL LTD
WEIZMANIND	WEIZMANN LTD
GOENKA	GOENKA DIAMOND&JEWELS LTD
INFRABEES	INFRA GOLDMAN SACHS ETF
AHLWEST	ASIAN HOTELS (WEST) LTD
AUSTRAL	AUSTRAL COKE & PRO LTD
GOLDTECH	GOLDSTONE TECHNOLOGIES LT
HILTON	HILTON METAL FORGING LTD
INDSWFTLTD	IND-SWIFT LIMITED
JMA	JULLUNDUR MOT AGENCY LTD
SANCO	SANCO INDUSTRIES LTD.
EIMCOELECO	EIMCO ELECON (INDIA) LTD
NICCO	NICCO CORP LTD
AUSOMENT	AUSOM ENTERPRISE LIMITED
INDOTHAI	INDO THAI SEC LTD
MUKANDENGG	MUKAND ENGINEERS LIMITED
OMNITECH	OMNITECH INFOSOLU LTD.
TTKHLTCARE	TTK HEALTHCARE LIMITED
WELINV	WELSPUN INV & COMM LTD
SRGINFOTEC	SRG INFOTEC (INDIA) LTD.
REVATHI	REVATHI EQUIPMENT LTD
SALONA	SALONA COTSPIN LTD.
TRICOM	TRICOM INDIA LIMITED
MOTOGENFIN	MOTOR & GENERAL FINANCE L
ACROPETAL	ACROPETAL TECH LTD
ASIANHOTNR	ASIAN HOTELS (NORTH) LTD
GILLANDERS	GILLANDERS ARBUTHNOT LTD
ANIKINDS	ANIK INDUSTRIES LTD
MALWACOTT	MALWA COTTON SPG. MILLS L
DELTAMAGNT	DELTA MAGNETS LIMITED
GKWLIMITED	GKW LIMITED
PDSMFL	PDS MULTINATIONAL FAS LTD
PARASPETRO	PARAS PETROFILS LTD.
RUCHINFRA	RUCHI INFRASTRUCTURE LTD
RELDIVOPP	RELCAPAMC - RELDIVOPP
SHARIABEES	SHARIAH GOLDMAN SACHS ETF
DBSTOCKBRO	DB (INT) STOCK BROKERS
EUROTEXIND	EUROTEX INDUSTRIES LTD
HINDSYNTEX	HIND SYNTEX LTD
MELSTAR	MELSTAR INFORMATION TECH
NSIL	NALWA SONS INVESTMENT LTD
RAJOIL	RAJ OIL MILLS LTD
SEZAL	SEZAL GLASS LIMITED
SOMICONVEY	SOMI CONVEYOR BELT. LTD.
VIMALOIL	VIMAL O & F LTD
WSI	W.S.INDUSTRIES (I) LTD.
ASPINWALL	ASPINWALL & CO LTD
RMMIL	RESURGERE MINES & MINERAL
HDFCNIFETF	HDFCAMC - HDFCNIFETF
NIF100IWIN	ICICIPRU NIFTY100 IWINETF
ARIHANT	ARIHANT FOUN & HOU LTD
IITL	INDUSTRIAL INV TRUST LTD
MOMAI	MOMAI APPARELS LTD.
PRECOT	PRECOT MERIDIAN LIMITED
TECHIN	TECHINDIA NIRMAN LIMITED
SURANACORP	SURANA CORPORATION LTD
LICNETFGSC	LICNAMC - LICNMFET
MIDCAPIWIN	ICICI PRU MIDCAP IWIN ETF
BEARDSELL	BEARDSELL LIMITED
HUSYSLTD	HUSYS CONSULTING LTD.
IVZINNIFTY	INVESCO INDIA NIFTY ETF
METKORE	METKORE ALLOYS & IND LTD
NECCLTD	NORTH EAST CARRY CORP LTD
NORBTEAEXP	NORBEN TEA & EXPORTS LTD
PREMIERPOL	PREMIER POLYFILM LTD
RAJRAYON	RAJ RAYON INDUSTRIES LTD
TCIDEVELOP	TCI DEVELOPERS LIMITED
SHRIASTER	SHRI ASTER SILICATES LTD
SURYAJYOTI	SURYAJYOTI SPIN.MILLS LTD
GIRRESORTS	GIR NATUREVIEW RESORT LTD
KOTAKNV20	KOTAKMAMC - KTKNV20ETF
RELNIFTY	RELCAPAMC - RELNIFTY
BILPOWER	BILPOWER LIMITED
FOURTHDIM	FOURTH DIMEN. SOLUT. LTD
GLFL	GUJARAT LEASE FINANCING L
KHANDSE	KHANDWALA SECURITIES LTD
RAMSARUP	RAMSARUP INDUSTRIES LTD.
SGFL	SHREE GANESH FORG. LTD
GEINDSYS	GEI IND SYSTEMS LTD
CRMFGETF	CAN ROBECO - GOLD ETF
EQ30	EDELAMC - EQ30
NV20IWIN	ICICI PRU NV20 IWIN ETF
RELBANK	R SHARES BANKING ETF
ANANDAMRUB	THE ANANDAM RUBBER CO LTD
BLUECHIP	BLUE CHIP INDIA LIMITED
CYBERMEDIA	CYBER MEDIA (INDIA) LTD.
INTEGRA	INTEGRA GARMENT & TEX LTD
JAIHINDPRO	JAIHIND PROJECTS LTD
NDGL	NAGA DHUNSERI GROUP LTD
NET4	NET 4 INDIA LIMITED
REISIXTEN	REI SIX TEN RETAIL LTD
TODAYS	TODAYS WRITING INSTRUMENT
ZENITHBIR	ZENITH BIRLA (INDIA) LTD
ZODJRDMKJ	ZODIAC JRD-MKJ LTD
NKIND	NKINDUSTRIES LTD
TNTELE	TAMILNADU TELECOMMUNICATI
RELCNX100	RELCAPAMC - RELCNX100
RRSLGETF	RELCAPAMC - RRSLGETF
SETFNN50	SBI-ETF NIFTY NEXT 50
UTINIFTETF	UTIAMC - UTINIFTETF
BLUECOAST	BLUE COAST HOTELS LIMITED
CREATIVEYE	CREATIVE EYE LIMITED
CROWN	CROWN LIFTERS LTD.
RADAAN	RADAAN MEDIAWORKS (I) LTD
SAMTEL	SAMTEL COLOR LTD
UNITEDPOLY	UNITED POLYFAB GUJ. LTD.
JAINSTUDIO	JAIN STUDIOS LIMITED
KALYANIFRG	KALYANI FORGE LIMITED
LFIC	LAKSHMI FIN IND CORP LTD
RAJVIR	RAJVIR INDUSTRIES LIMITED
AGRODUTCH	AGRO DUTCH INDUSTRIES LTD
NIFTYEES	EDELWEISS ETF - NIFTY 50
QNIFTY	QUANTUM INDEX FUND-ETF
RELCONS	RELCAPAMC - RELCONS
SENSEXIWIN	ICICI PRU SENSEX IWIN ETF
SETFNIFBK	SBI-ETF NIFTY BANK
